S. No.,area_type,availability,location,size,society,total_sqft,bath,balcony,price,bedrooms
254,Super built-up  Area,18-Jun,Shree Ananth Nagar Layout,2 BHK,,900,2.0,2.0,2250000,2.0
255,Built-up  Area,Ready To Move,Kundalahalli Colony,2 Bedroom,,1280,2.0,1.0,6900000,2.0
256,Plot  Area,Ready To Move,Horamavu Agara,4 Bedroom,,1200,2.0,0.0,9500000,4.0
257,Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,,1025,2.0,2.0,3600000,2.0
258,Super built-up  Area,17-Jun,Electronic City,2 BHK,Prarkun,1108,2.0,1.0,6300000,2.0
259,Plot  Area,Ready To Move,MCECHS  layout,5 Bedroom,,1200,5.0,,17000000,5.0
260,Super built-up  Area,Ready To Move,Coffee Board Layout,3 BHK,Calyxy ,3045,3.0,2.0,17000000,3.0
261,Plot  Area,Ready To Move,Ambedkar Nagar,4 Bedroom,Thessrm,2900,3.0,2.0,30000000,4.0
262,Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,JJortom,1500,3.0,2.0,7550000,3.0
263,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1295,2.0,2.0,4390000,2.0
264,Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1162,2.0,1.0,5990000,2.0
265,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Usquaya,1035,2.0,2.0,4920000,2.0
266,Built-up  Area,Ready To Move,Attibele,4 Bedroom,Natic T,1600,4.0,0.0,5280000,4.0
267,Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3 BHK,,1464,3.0,2.0,4600000,3.0
268,Super built-up  Area,18-Oct,Hennur Road,3 BHK,DSapeSk,1866,2.0,2.0,6158000,3.0
269,Super built-up  Area,Ready To Move,Geleyara Balaga Layout,2 BHK,Jahtsa ,700,1.0,1.0,2600000,2.0
270,Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,Prillot,1804,3.0,2.0,12000000,3.0
271,Super built-up  Area,Ready To Move,Sarjapur,2 BHK,,913,2.0,1.0,3200000,2.0
272,Super built-up  Area,21-Dec,Talaghattapura,3 BHK,Sodgere,1868,3.0,2.0,13100000,3.0
273,Built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,,883,2.0,1.0,4500000,2.0
274,Plot  Area,Ready To Move,Sundara Nagar,2 Bedroom,,900,2.0,1.0,11000000,2.0
275,Super built-up  Area,Ready To Move,Kogilu,3 BHK,,1664,2.0,3.0,7395000,3.0
276,Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoitaCa,2026,3.0,2.0,13200000,3.0
277,Super built-up  Area,Ready To Move,Balagere,2 BHK,Soestin,1210,2.0,1.0,8090000,2.0
278,Plot  Area,Ready To Move,Meenakunte,4 Bedroom,Sreat R,4111,4.0,2.0,25000000,4.0
279,Super built-up  Area,Ready To Move,Kadugodi,3 BHK,Alestrb,1762,3.0,3.0,9145000,3.0
280,Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsen,1252,3.0,3.0,5500000,3.0
281,Built-up  Area,Ready To Move,Gollarapalya Hosahalli,2 BHK,Mauner ,861,2.0,1.0,3450000,2.0
282,Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brnia G,1420,2.0,1.0,10000000,3.0
283,Plot  Area,Ready To Move,Srirampura,6 Bedroom,,1450,6.0,0.0,25000000,6.0
284,Built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,GaicaVe,1490,3.0,1.0,7880000,3.0
285,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,,1075,2.0,1.0,4600000,3.0
286,Super built-up  Area,18-Aug,Old Madras Road,3 BHK,Saesttt,1425,2.0,2.0,9400000,3.0
287,Built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,Nae 2El,1200,2.0,1.0,4000000,2.0
288,Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,,1280,2.0,2.0,5600000,3.0
289,Super built-up  Area,Ready To Move,Silver Springs Layout,2 BHK,Bhinglv,1084,2.0,2.0,5000000,2.0
290,Super built-up  Area,18-Jul,Chandapura,2 BHK,SunceEs,1015,2.0,2.0,2588000,2.0
291,Super built-up  Area,21-May,Kanakpura Road,2 BHK,GolusLi,1017,2.0,1.0,5125000,2.0
292,Super built-up  Area,Ready To Move,Haralur Road,2 BHK,,1027,2.0,2.0,4400000,2.0
293,Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Coush W,1069,2.0,2.0,4500000,2.0
294,Super built-up  Area,Ready To Move,Hebbal,2 BHK,Prersis,1349,2.0,1.0,9820000,2.0
295,Super built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,NaensGa,1005,2.0,1.0,5000000,2.0
296,Super built-up  Area,Ready To Move,Jakkur,2 BHK,Arzzo P,1417,2.0,3.0,7500000,2.0
297,Plot  Area,18-Jan,TC Palaya,3 Bedroom,,1475,3.0,1.0,9800000,3.0
298,Carpet  Area,Ready To Move,Maruthi Sevanagar,2 BHK,SMikaay,950,2.0,2.0,4700000,2.0
299,Super built-up  Area,Ready To Move,RMV 2nd Stage,4 BHK,Prave E,2000,4.0,0.0,12000000,4.0
300,Plot  Area,Ready To Move,Giri Nagar,3 Bedroom,,880,3.0,1.0,14000000,3.0
301,Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Ahriaup,1863,3.0,2.0,10400000,4.0
302,Super built-up  Area,Ready To Move,Singasandra,2 BHK,Priewhi,1010,2.0,1.0,2950000,2.0
303,Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,Shodsth,1425,2.0,1.0,7000000,3.0
304,Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,Swadeh ,1450,3.0,0.0,10000000,3.0
305,Super built-up  Area,Ready To Move,Kothanur,3 BHK,Somumys,1847,3.0,2.0,10500000,3.0
306,Super built-up  Area,Ready To Move,AECS Layout,2 BHK,Soran U,1100,2.0,3.0,4500000,2.0
307,Super built-up  Area,20-Dec,Kanakpura Road,1 BHK,PrarePa,525,1.0,1.0,2600000,1.0
308,Super built-up  Area,Ready To Move,Mallasandra,3 BHK,Puestig,1665,3.0,2.0,9500000,3.0
309,Super built-up  Area,Ready To Move,Begur,4 BHK,Prntsrt,1664,4.0,3.0,6500000,4.0
310,Super built-up  Area,Ready To Move,JP Nagar,3 BHK,Maerar ,1850,3.0,3.0,15000000,3.0
311,Super built-up  Area,Ready To Move,Panathur,2 BHK,Vaesh T,1438,2.0,3.0,10000000,2.0
312,Super built-up  Area,Ready To Move,Sunder Ram Shetty Nagar,3 BHK,MaisePa,1560,3.0,3.0,11500000,3.0
313,Super built-up  Area,18-Apr,Yelahanka,2 BHK,,1350,2.0,1.0,5555000,2.0
314,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1550,3.0,3.0,6700000,3.0
315,Super built-up  Area,18-Apr,Malleshpalya,2 BHK,,1140,2.0,2.0,4650000,2.0
316,Plot  Area,Ready To Move,Srirampura,5 Bedroom,,1200,5.0,2.0,18000000,5.0
317,Super built-up  Area,18-Dec,Kodathi,2 BHK,,850,2.0,2.0,2700000,2.0
318,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Gotis A,1280,2.0,2.0,7500000,2.0
319,Built-up  Area,Ready To Move,Munnekollal,2 BHK,,1170,2.0,2.0,5200000,2.0
320,Super built-up  Area,Ready To Move,Motappa Layout,2 BHK,Puodse ,1113,2.0,1.0,5100000,2.0
321,Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Mileeou,1385,2.0,1.0,8309000,2.0
322,Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1128,2.0,1.0,6500000,2.0
323,Plot  Area,Ready To Move,Marathahalli,2 Bedroom,,1200,2.0,2.0,12800000,2.0
324,Plot  Area,Ready To Move,Akshaya Vana,4 Bedroom,,1200,4.0,3.0,16500000,4.0
325,Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2390,3.0,2.0,41500000,3.0
326,Plot  Area,Ready To Move,Giri Nagar,4 Bedroom,,2400,4.0,1.0,40000000,4.0
327,Super built-up  Area,Ready To Move,Haralur Road,3 BHK,NRowse ,1464,3.0,2.0,5600000,3.0
328,Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,,1200,2.0,2.0,5500000,2.0
329,Super built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,Abncy R,1200,2.0,2.0,5200000,2.0
330,Super built-up  Area,Ready To Move,Kaggalipura,3 BHK,Baowsig,1150,2.0,1.0,5500000,3.0
331,Built-up  Area,Ready To Move,Basavanna Nagar,3 BHK,Itala A,1645,3.0,2.0,9500000,3.0
332,Super built-up  Area,20-Mar,Sarjapur  Road,2 BHK,,1000,2.0,1.0,6700000,2.0
333,Plot  Area,Ready To Move,Haralur Road,4 Bedroom,,2650,4.0,2.0,19800000,4.0
334,Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,HMinebo,1192,2.0,2.0,7400000,2.0
335,Super built-up  Area,Ready To Move,Ulsoor,3 BHK,K borja,2135,3.0,2.0,21500000,3.0
336,Super built-up  Area,19-Dec,Whitefield,2 BHK,Oreldhi,1173,2.0,1.0,5800000,2.0
337,Built-up  Area,Ready To Move,Uttarahalli,2 BHK,Sungspr,1020,2.0,2.0,4500000,2.0
338,Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,3122,6.0,2.0,23000000,4.0
339,Super built-up  Area,Ready To Move,Somasundara Palya,3 BHK,,1600,3.0,3.0,6400000,3.0
340,Plot  Area,18-Mar,T.C PALYA,2 Bedroom,,1200,2.0,0.0,7900000,2.0
341,Carpet  Area,Ready To Move,Muneshwara Nagar,2 BHK,,1230,2.0,3.0,4800000,2.0
342,Super built-up  Area,Ready To Move, Devarachikkanahalli,2 BHK,Clntsrt,1250,2.0,2.0,4000000,2.0
343,Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,PuamaPa,1325,2.0,2.0,7600000,2.0
344,Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brngsal,1850,3.0,1.0,15000000,3.0
345,Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,PrarePa,525,,,2153000,1.0
346,Super built-up  Area,Ready To Move,Basaveshwara Nagar,2 BHK,,1200,2.0,2.0,6500000,2.0
347,Plot  Area,Ready To Move,Bull Temple Road,3 Bedroom,,1350,2.0,0.0,14000000,3.0
348,Super built-up  Area,18-Jun,Bommasandra,3 BHK,SSestth,1260,3.0,1.0,4936000,3.0
349,Super built-up  Area,Ready To Move,Prashanth Nagar,3 BHK,Vancy R,1800,3.0,0.0,15000000,3.0
350,Plot  Area,18-Dec,Suragajakkanahalli,3 Bedroom,PrhyaK ,11,3.0,2.0,7400000,3.0
351,Built-up  Area,Ready To Move,Ardendale,2 BHK,Miwel M,1100,2.0,1.0,4325000,2.0
352,Super built-up  Area,Ready To Move,Harlur,2 BHK,SrEndPo,1508,2.0,1.0,7700000,2.0
353,Carpet  Area,Ready To Move,Sampigehalli,3 BHK,Puens G,1592,3.0,2.0,7500000,3.0
354,Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,SagasSa,1388,2.0,3.0,5700000,2.0
355,Super built-up  Area,18-May,Electronic City Phase II,1 BHK,SNbay G,630,1.0,1.0,2835000,1.0
356,Plot  Area,Ready To Move,RMV,3 Bedroom,,2000,3.0,2.0,36500000,3.0
357,Super built-up  Area,Ready To Move,Banashankari3rd stage bigbazar,3 BHK,,1762,3.0,1.0,12500000,3.0
358,Super built-up  Area,21-Dec,Bagalur Main Road,2 BHK,,950,2.0,2.0,5000000,2.0
359,Super built-up  Area,Ready To Move,Kodihalli,4 BHK,Soianal,3252,5.0,3.0,33500000,4.0
360,Super built-up  Area,18-Aug,Magadi Road,2 BHK,Vrenty ,1116,2.0,1.0,5000000,2.0
361,Super built-up  Area,Ready To Move,Narayanapura,2 BHK,AriosHe,1308,2.0,2.0,8904000,2.0
362,Super built-up  Area,Ready To Move,MS Pallya,3 BHK,,1200,3.0,0.0,9000000,3.0
363,Plot  Area,Ready To Move,Binny Mills Employees Colony,4 Bedroom,,1500,4.0,2.0,23000000,4.0
364,Built-up  Area,Ready To Move,Bannerghatta Road,1 BHK,,500,1.0,1.0,1850000,1.0
365,Super built-up  Area,Ready To Move,Hennur,2 BHK,SLureSi,1075,2.0,1.0,5200000,2.0
366,Super built-up  Area,18-Mar,Chandapura,1 BHK,Siissi ,530,1.0,0.0,1166000,1.0
367,Built-up  Area,Ready To Move,Bellandur,2 BHK,,1205,2.0,3.0,6600000,2.0
368,Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,Mangsr ,1075,2.0,2.0,6000000,2.0
369,Built-up  Area,Ready To Move,KR Puram,2 BHK,HovasTe,930,2.0,2.0,3900000,2.0
370,Super built-up  Area,Ready To Move,Balagere,2 BHK,Exncene,1380,2.0,1.0,6000000,2.0
371,Super built-up  Area,Ready To Move,Hebbal,4 BHK,Prersis,2483,5.0,2.0,21200000,4.0
372,Built-up  Area,Ready To Move,Kodigehaali,2 BHK,Shyas S,1166,2.0,2.0,5500000,2.0
373,Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,NadelCi,1050,2.0,1.0,6500000,2.0
374,Super built-up  Area,19-Mar,Gopalapura,3 BHK,Sothadr,2023.71,3.0,2.0,27500000,3.0
375,Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200,2.0,2.0,4680000,2.0
376,Super built-up  Area,Ready To Move,Lakshminarayana Pura,3 BHK,Puarent,1600,2.0,1.0,10800000,3.0
377,Super built-up  Area,Ready To Move,Billekahalli,3 BHK,MaionPa,1935,3.0,2.0,11000000,3.0
378,Super built-up  Area,18-May,8th Phase JP Nagar,1 BHK,Maian M,451,1.0,0.0,2990000,1.0
379,Super built-up  Area,Ready To Move,Electronic City,3 BHK,ShstaAl,1800,3.0,2.0,9500000,3.0
380,Super built-up  Area,18-May,Jalahalli,3 BHK,Shard T,1400,3.0,0.0,7700000,3.0
381,Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoitaCa,1801,3.0,2.0,11500000,3.0
382,Built-up  Area,Ready To Move,Mahadevpura,2 BHK,Neagar ,1451,2.0,,9000000,2.0
383,Plot  Area,19-Jan,Anekal,2 Bedroom,,1200,1.0,1.0,3600000,2.0
384,Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1160,2.0,2.0,4400000,2.0
385,Built-up  Area,Ready To Move,Kengeri,2 BHK,,1000,2.0,1.0,2500000,2.0
386,Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Wiowsri,950,2.0,1.0,4000000,2.0
387,Built-up  Area,20-Dec,"Hoodi Circle, ",3 BHK,,1629,3.0,2.0,7900000,3.0
388,Built-up  Area,Ready To Move,Vijayanagar,3 BHK,,1580,2.0,0.0,13400000,3.0
389,Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saityat,1826,3.0,2.0,12100000,3.0
390,Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Eladero,1245,2.0,1.0,9400000,2.0
391,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Lancyey,1145,2.0,2.0,4579000,2.0
392,Super built-up  Area,Ready To Move,Sompura,2 BHK,Suiseit,825,2.0,1.0,3300000,2.0
393,Super built-up  Area,18-Aug,Yeshwanthpur,3 BHK,Aroomba,1693,3.0,3.0,10800000,3.0
394,Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,Courf T,1113.27,2.0,2.0,5300000,2.0
395,Built-up  Area,Ready To Move,Ashirvad Colony,2 BHK,VMowsea,1460,2.0,1.0,5800000,2.0
396,Built-up  Area,Ready To Move,Doddathoguru,2 BHK,S onsMa,1050,2.0,1.0,3200000,2.0
397,Built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,Tuentpa,1260,2.0,2.0,5500000,2.0
398,Super built-up  Area,Ready To Move,K N Extension,6 BHK,,700,3.0,,12000000,6.0
399,Built-up  Area,Ready To Move,Hosur Road,2 BHK,Tovesee,1656,2.0,1.0,12000000,2.0
400,Super built-up  Area,Ready To Move,Chandapura,3 BHK,Vailsaf,1208,3.0,1.0,4500000,3.0
401,Super built-up  Area,Ready To Move,Whitefield,3 BHK,BrlisCo,1910,3.0,2.0,16100000,3.0
402,Super built-up  Area,Ready To Move,Whitefield,4 BHK,Haestt ,3252,4.0,1.0,23000000,4.0
403,Plot  Area,Ready To Move,Battarahalli,2 Bedroom,,1200,2.0,1.0,6500000,2.0
404,Super built-up  Area,Ready To Move,Gokula Extension,4 BHK,,1200,4.0,1.0,17500000,4.0
405,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,BriumMi,1175,2.0,1.0,8200000,2.0
406,Plot  Area,Ready To Move,Kamakshipalya,2 Bedroom,,1000,2.0,0.0,16500000,2.0
407,Plot  Area,Ready To Move,Bannerghatta Road,4 Bedroom,,1200,2.0,0.0,12500000,4.0
408,Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2390,3.0,2.0,41000000,3.0
409,Super built-up  Area,19-Jan,Rajaji Nagar,7 BHK,,12000,6.0,3.0,220000000,7.0
410,Plot  Area,Ready To Move,Sultan Palaya,2 Bedroom,,550,1.0,1.0,6200000,2.0
411,Super built-up  Area,Ready To Move,Kengeri,1 BHK,,34.46Sq. Meter,1.0,0.0,1850000,1.0
412,Super built-up  Area,Ready To Move,Sanne Amanikere,2 BHK,Hoxiaa ,1185,2.0,,3800000,2.0
413,Super built-up  Area,Ready To Move,Kengeri,2 BHK,VBvenal,750,2.0,1.0,3800000,2.0
414,Plot  Area,Ready To Move,Mahalakshmi Layout,6 Bedroom,,1200,7.0,3.0,25000000,6.0
415,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1550,3.0,3.0,6450000,3.0
416,Built-up  Area,Ready To Move,Amco Colony,3 BHK,Hoeatan,1760,3.0,2.0,8800000,3.0
417,Super built-up  Area,Ready To Move,Billekahalli,2 BHK,Asity S,1125,2.0,2.0,6200000,2.0
418,Plot  Area,Ready To Move,Nagarbhavi,3 Bedroom,,1350,3.0,2.0,15000000,3.0
419,Plot  Area,17-Dec,Anandapura,2 Bedroom,,1000,2.0,1.0,5500000,2.0
420,Built-up  Area,18-Aug,Bommasandra Industrial Area,2 BHK,,1090,2.0,2.0,3148000,2.0
421,Plot  Area,Ready To Move,TC Palaya,2 Bedroom,,1200,2.0,0.0,6000000,2.0
422,Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1991,4.0,2.0,10300000,3.0
423,Super built-up  Area,18-Oct,Bommasandra,2 BHK,DSoodil,1060,2.0,1.0,2650000,2.0
424,Super built-up  Area,Ready To Move,Ambalipura,2 BHK,SJarkte,1105,2.0,1.0,7500000,2.0
425,Built-up  Area,Ready To Move,Hoodi,2 BHK,Dhgraas,985,2.0,2.0,6700000,2.0
426,Plot  Area,Ready To Move,Chandapura,6 Bedroom,,1533,5.0,3.0,8500000,6.0
427,Super built-up  Area,17-Jul,Balagere,3 BHK,HiqueMa,1590,3.0,2.0,7900000,3.0
428,Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,Srshq T,1120,2.0,2.0,5500000,2.0
429,Super built-up  Area,Ready To Move,Samethanahalli,2 BHK,SPontna,1069,2.0,1.0,5500000,2.0
430,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Prionad,1933,3.0,2.0,14000000,3.0
431,Built-up  Area,16-Mar,Hosur Road,2 BHK,PuendWe,1194,2.0,0.0,6900000,2.0
432,Super built-up  Area,Ready To Move,Brookefield,2 BHK,Danna S,1150,2.0,3.0,6900000,2.0
433,Super built-up  Area,Ready To Move,Yelenahalli,2 BHK,,1240,2.0,2.0,4712000,2.0
434,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1419,2.0,2.0,4810000,2.0
435,Plot  Area,Ready To Move,7th Phase JP Nagar,8 Bedroom,,1200,8.0,,25000000,8.0
436,Super built-up  Area,Ready To Move,Richmond Town,3 BHK,Bltonin,2150,4.0,,24000000,3.0
437,Super built-up  Area,Ready To Move,Suddaguntepalya,3 BHK,MSanaer,1450,3.0,2.0,5500000,3.0
438,Super built-up  Area,18-Jul,Udayapur Village,3 BHK,Plowsri,1630,3.0,2.0,6829000,3.0
439,Super built-up  Area,Ready To Move,Dasanapura,2 BHK,Tavenew,708,1.0,1.0,4000000,2.0
440,Plot  Area,Ready To Move,Kasavanhalli,3 Bedroom,,1000,4.0,3.0,11000000,3.0
441,Plot  Area,Ready To Move,Whitefield,4 Bedroom,,11890,4.0,3.0,70000000,4.0
442,Super built-up  Area,Ready To Move,Bellandur,2 BHK,Ocavees,1250,2.0,1.0,7600000,2.0
443,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brnia G,1400,2.0,1.0,9500000,3.0
444,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,,1670,2.0,3.0,5700000,3.0
445,Super built-up  Area,Ready To Move,Ardendale,3 BHK,SoystAm,1750,3.0,2.0,10000000,3.0
446,Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1404,2.0,1.0,7100000,2.0
447,Super built-up  Area,Ready To Move,Hoodi,3 BHK,SMaxyay,1715,2.0,2.0,9500000,3.0
448,Built-up  Area,18-Apr,Electronic City,1 BHK,Prarkun,630,1.0,1.0,3465000,1.0
449,Super built-up  Area,Ready To Move,Harlur,3 BHK,SosicCl,1752.12,3.0,2.0,13500000,3.0
450,Super built-up  Area,Ready To Move,Hulimavu,3 BHK,,1650,3.0,2.0,7800000,3.0
451,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1295,2.0,1.0,5547000,2.0
452,Plot  Area,Ready To Move,Giri Nagar,3 Bedroom,Bancyri,1800,3.0,2.0,25200000,3.0
453,Super built-up  Area,18-Sep,Sarjapur  Road,2 BHK,PualeSk,1346,2.0,1.0,7403000,2.0
454,Plot  Area,Ready To Move,Thippasandra,4 Bedroom,,1200,4.0,2.0,20000000,4.0
455,Super built-up  Area,Ready To Move,Hormavu,2 BHK,ElavuHo,1150,2.0,2.0,5500000,2.0
456,Built-up  Area,Ready To Move,Chikkabidarakallu,4 Bedroom,Gontyol,3309,4.0,3.0,32500000,4.0
457,Super built-up  Area,18-May,Chandapura,3 BHK,SunceEs,1190,2.0,2.0,3035000,3.0
458,Super built-up  Area,Ready To Move,AECS Layout,3 BHK,DSutyng,1620,3.0,2.0,9800000,3.0
459,Super built-up  Area,18-Apr,Marathahalli,2 BHK,,950,2.0,1.0,4696000,2.0
460,Super built-up  Area,Ready To Move,1 Giri Nagar,11 BHK,Bancyri,5000,9.0,3.0,36000000,11.0
461,Super built-up  Area,Ready To Move,Harlur,3 BHK,SrEndPo,2450,3.0,0.0,12000000,3.0
462,Super built-up  Area,18-May,Electronic City Phase II,3 BHK,Sryalan,1220,2.0,1.0,3522999,3.0
463,Super built-up  Area,Ready To Move,Hoysalanagar,2 BHK,RKntsrt,850,2.0,1.0,3000000,2.0
464,Built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,,1020,2.0,2.0,6300000,2.0
465,Built-up  Area,Ready To Move,Chikkalasandra,2 BHK,,1100,2.0,2.0,5000000,2.0
466,Super built-up  Area,Ready To Move,Defence Colony,2 BHK,Vantspa,1150,2.0,2.0,12600000,2.0
467,Super built-up  Area,18-Dec,Hebbal,3 BHK,Mahosya,1760,2.0,2.0,13000000,3.0
468,Super built-up  Area,Ready To Move,Ambalipura,3 BHK,,1800,3.0,3.0,11000000,3.0
469,Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,,1070,2.0,1.0,5400000,2.0
470,Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,,1500,4.0,2.0,22000000,4.0
471,Plot  Area,Ready To Move,Vidyaranyapura,2 Bedroom,,1440,2.0,0.0,9500000,2.0
472,Super built-up  Area,Ready To Move,Amruthahalli,2 BHK,Prowsi ,900,2.0,1.0,4000000,2.0
473,Built-up  Area,Ready To Move,ITI Employees Layout,4 BHK,,1200,4.0,1.0,23000000,4.0
474,Super built-up  Area,18-May,Whitefield,2 BHK,SMuilan,1130,2.0,1.0,4216000,2.0
475,Super built-up  Area,Ready To Move,Koramangala,2 BHK,Proodt ,1320,2.0,1.0,16500000,2.0
476,Super built-up  Area,19-Jun,Kodigehalli,2 BHK,,1270,2.0,1.0,9800000,2.0
477,Built-up  Area,Ready To Move,Patelappa Layout,2 BHK,Sryamar,1200,2.0,1.0,6200000,2.0
478,Super built-up  Area,Ready To Move,Ring Road Nagarbhavi,4 BHK,,4800,4.0,,23500000,4.0
479,Super built-up  Area,Ready To Move,NS Palya,2 BHK,,1200,2.0,1.0,7400000,2.0
480,Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Prldsri,929,2.0,0.0,5017000,2.0
481,Built-up  Area,Ready To Move,RMV 2nd Stage,4 BHK,LiaveEn,1150,4.0,2.0,26000000,4.0
482,Plot  Area,Ready To Move,Basavangudi,4 Bedroom,,1125,4.0,3.0,18000000,4.0
483,Plot  Area,Ready To Move,Kenchenahalli,5 Bedroom,,500,3.0,2.0,6500000,5.0
484,Plot  Area,Ready To Move,3rd Block Hrbr Layout,5 Bedroom,Bemesrm,1200,5.0,2.0,19000000,5.0
485,Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3 BHK,,1464,3.0,2.0,5600000,3.0
486,Super built-up  Area,Ready To Move,7th Phase JP Nagar,4 BHK,,3600,4.0,3.0,40000000,4.0
487,Plot  Area,Ready To Move,Bank Avenue,4 Bedroom,,2000,4.0,2.0,9900000,4.0
488,Super built-up  Area,Ready To Move,Chikkalasandra,2 BHK,,1208,2.0,1.0,4900000,2.0
489,Super built-up  Area,Ready To Move,Hebbal Kempapura,2 BHK,Vrensn ,1130,2.0,2.0,6000000,2.0
490,Super built-up  Area,Ready To Move,Surabhi Layout,3 BHK,VDdonel,1753,3.0,2.0,12000000,3.0
491,Super built-up  Area,Ready To Move,Old Madras Road,5 BHK,Brica E,4500,7.0,3.0,33700000,5.0
492,Plot  Area,Ready To Move,Banjara Layout,3 Bedroom,,600,3.0,2.0,5800000,3.0
493,Super built-up  Area,22-Jun,Hoodi,2 BHK,GoAirej,1196,2.0,2.0,9442000,2.0
494,Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,Prenty ,1150,3.0,3.0,5250000,2.0
495,Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1128,2.0,1.0,6300000,2.0
496,Super built-up  Area,Ready To Move,Omkar Nagar,2 BHK,Shinei ,1000,2.0,1.0,5300000,2.0
497,Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Apows M,1035,2.0,1.0,4500000,2.0
498,Built-up  Area,Ready To Move,Kereguddadahalli,2 BHK,,950,2.0,1.0,3200000,2.0
499,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2.0,1.0,3600000,3.0
500,Super built-up  Area,Ready To Move,Whitefield,2 BHK,SVineun,1040,2.0,1.0,4850000,2.0
501,Plot  Area,17-Oct,Maragondanahalli,2 Bedroom,,720,2.0,1.0,4500000,2.0
502,Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1511,3.0,1.0,9500000,3.0
503,Built-up  Area,Ready To Move,Silk Board,3 BHK,,1300,3.0,1.0,5800000,3.0
504,Super built-up  Area,19-Dec,Hoodi,3 BHK,Caycend,1545,3.0,1.0,6875000,3.0
505,Built-up  Area,Ready To Move,Shampura,1 BHK,,375,2.0,0.0,2600000,1.0
